Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1978","1978","1000 persons","510417.658","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1978","1978","1000 persons","483961.468","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1978","1978","1000 persons","802955.382","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1978","1978","1000 persons","185090.984","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1979","1979","1000 persons","1008732.454","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1979","1979","1000 persons","517818.84","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1979","1979","1000 persons","490913.628","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1979","1979","1000 persons","807133.192","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1979","1979","1000 persons","195194.943","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1980","1980","1000 persons","1023101.506","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1980","1980","1000 persons","525205.052","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1980","1980","1000 persons","497896.464","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1980","1980","1000 persons","810993.444","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1980","1980","1000 persons","205754.823","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1981","1981","1000 persons","1037429.004","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1981","1981","1000 persons","532541.023","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1981","1981","1000 persons","504887.981","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1981","1981","1000 persons","814531.684","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1981","1981","1000 persons","216741.822","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1982","1982","1000 persons","1051735.68","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","512","Total Population - Male","3010","Population - Est. & Proj.","1982","1982","1000 persons","539841.155","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","513","Total Population - Female","3010","Population - Est. & Proj.","1982","1982","1000 persons","511894.538","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","551","Rural population","3010","Population - Est. & Proj.","1982","1982","1000 persons","817712.036","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","351","China","561","Urban population","3010","Population - Est. & Proj.","1982","1982","1000 persons","228199.645","A","Aggregate, may include official, semi-official, estimated or calculated data",""
